station_id,station_name,station_longitude,station_latitude,station_address,geton_usage,getoff_usage,total_usage
1.0,국제여객선터미널,126.54433,33.52438,제주특별자치도 제주시 건입동 908-20,781,28,809
2.0,오광로입구,126.45618,33.49527,제주특별자치도 제주시 이호이동 1587-4,815,195,1010
3.0,오광로입구,126.45623,33.495459999999994,제주특별자치도 제주시 이호이동 1587-1,84,352,436
4.0,이호2동,126.46137,33.49488,제주특별자치도 제주시 이호이동 803-6,58,29,87
5.0,이호2동,126.46122,33.49508,제주특별자치도 제주시 이호이동 803-5,38,78,116
6.0,노형주공아파트,126.47393000000001,33.4906,제주특별자치도 제주시 노형동 2577-2,9,88,97
7.0,노형주공아파트,126.47418,33.49068,제주특별자치도 제주시 노형동 1238-1,144,14,158
8.0,못가름,126.47678,33.48843,제주특별자치도 제주시 노형동 1297-5,27,6,33
9.0,노형우체국,126.47726000000002,33.48765,제주특별자치도 제주시 노형동 1064-6,255,87,342
10.0,노형우체국,126.47833,33.48709,제주특별자치도 제주시 노형동 1297-5,101,239,340
11.0,노형오거리,126.48013,33.48503,제주특별자치도 제주시 노형동 919,450,144,594
12.0,롯데마트,126.48218,33.4819,제주특별자치도 제주시 노형동 711-6,217,239,456
13.0,롯데마트,126.4824,33.48215,제주특별자치도 제주시 노형동 767,170,154,324
14.0,비석동,126.4179,33.48838,제주특별자치도 제주시 애월읍 하귀1리 3010,24,48,72
15.0,관전동,126.41909,33.48883,제주특별자치도 제주시 애월읍 하귀1리 264-7,53,27,80
16.0,관전동,126.42015,33.48983,제주특별자치도 제주시 애월읍 하귀1리 13,1,6,7
17.0,연대마을,126.4228,33.49129,제주특별자치도 제주시 외도일동 2111-1,41,36,77
18.0,연대마을,126.42325,33.49174,제주특별자치도 제주시 외도일동 2552-1,32,35,67
19.0,수정동,126.42858999999999,33.49264,제주특별자치도 제주시 외도일동 646-1,173,105,278
20.0,연대마을,126.42858000000001,33.49282,제주특별자치도 제주시 외도이동 2552,123,54,177
21.0,모감동,126.38115,33.47573,제주특별자치도 제주시 애월읍 구엄리 930-1,73,65,138
