station_id,station_name,geton_usage,getoff_usage,total_usage,tour_station
2972,제주국제공항(종점),700,30005,30705,0
638,제주국제공항(구제주방면),17301,9951,27252,0
1355,제주국제공항(신제주방면),11872,14289,26161,0
3290,"제주국제공항(대정,화순,일주서로)",7952,2421,10373,0
3351,"제주국제공항(일주동로,516도로)",8751,91,8842,0
2973,제주국제공항,6991,173,7164,0
149,제주버스터미널,3366,2986,6352,0
1579,제주국제공항(600번),6238,41,6279,0
279,동문로터리(동문시장),4741,1210,5951,1
150,제주버스터미널,2986,2938,5924,0
192,함덕환승정류장(함덕해수욕장),3943,1841,5784,1
321,제주도청신제주로터리,1508,3680,5188,0
198,함덕환승정류장(함덕해수욕장),1824,3308,5132,1
3270,제주시청(아라방면),1988,3138,5126,0
3350,"제주국제공항(평화로,800번)",4605,91,4696,0
320,제주도청신제주로터리,3637,1055,4692,0
3271,제주시청(광양방면),2883,1759,4642,0
2349,성산일출봉입구,3055,1488,4543,1
1564,제주시외버스터미널,4297,128,4425,0
2617,성산환승정류장(고성리한국물류),2694,1587,4281,1
2969,제주버스터미널(종점),17,4085,4102,0
2616,성산환승정류장(고성리회전교차로),1587,2504,4091,1
2348,성산일출봉입구,1284,2619,3903,1
2495,동광환승정류장4(제주방면),2224,1662,3886,0
280,동문로터리(동문시장),1609,2179,3788,1
2746,서귀포등기소,1630,2090,3720,0
1784,중앙로터리(동),2286,1290,3576,0
325,관덕정,2834,711,3545,1
1565,시외버스출발지(가상정류소),3162,186,3348,0
358,한라병원,1779,1568,3347,0
621,제주국제공항입구,122,3073,3195,0
357,한라병원,1640,1530,3170,0
863,세화환승정류장(세화리),781,2270,3051,1
1013,세화환승정류장(세화리),2173,729,2902,1
1699,제주월드컵경기장서귀포버스터미널,1284,1611,2895,0
2970,제주시외버스터미널(종점),50,2775,2825,0
324,관덕정,741,2037,2778,1
6103001,제주월드컵경기장,1832,933,2765,0
1091,한담동,1876,871,2747,1
284,중앙로(국민은행),775,1970,2745,0
151,한국병원,1451,1260,2711,0
283,중앙로(현대약국),1805,833,2638,0
1129,한림환승정류장(한림리),918,1649,2567,1
323,서문시장,442,2054,2496,0
1138,협재해수욕장,781,1711,2492,1
164,광양사거리,1125,1352,2477,0
3189,모슬포남항여객선터미널(운진항),2192,253,2445,0
2053,중문환승정류장(중문우체국),1699,729,2428,1
2353,성산항입구,1078,1302,2380,1
1137,협재해수욕장,1745,606,2351,1
2355,성산항,2232,40,2272,1
6103005,서귀포시구시외버스터미널,945,1278,2223,0
1228,김녕환승정류장(김녕초등학교),1652,542,2194,1
273,동광양,1362,819,2181,0
2354,성산항입구,1317,861,2178,1
1090,한담동,853,1324,2177,1
2221,성산항,80,2089,2169,1
186,은남동,1932,211,2143,1
2052,중문환승정류장(중문우체국),727,1374,2101,1
2243,고성리제주은행,1381,585,1966,0
1957,중앙로터리,865,1067,1932,0
282,중앙로(동문시장),457,1449,1906,0
187,은남동,289,1614,1903,1
1130,한림환승정류장(한림리),1240,570,1810,1
274,동광양,752,956,1708,0
1220,월정리,504,1198,1702,1
2051,천제연폭포,695,985,1680,1
361,남녕고등학교,993,677,1670,0
3190,모슬포남항여객선터미널(운진항),169,1488,1657,0
362,월랑마을남녕고등학교,733,918,1651,0
3291,애월환승정류장(애월리),511,1093,1604,1
6115100,서귀포시외버스터미널,75,1525,1600,0
6100732,구터미널,1099,498,1597,0
1645,중문관광단지입구,1298,287,1585,1
2494,동광환승정류장5(서귀방면),1057,521,1578,0
2743,동광환승정류장2(영어교육도시방면),1177,388,1565,0
2021,제주국제컨벤션센터,1314,224,1538,1
319,연동주민센터,1303,213,1516,0
360,노형오거리,911,588,1499,0
1953,제주은행,1148,330,1478,0
2088,동문로터리,121,1357,1478,1
2140,동문로터리,1378,94,1472,1
2240,성산포수협,356,1038,1394,1
1229,김녕환승정류장(김녕초등학교),509,883,1392,1
1660,제주국제컨벤션센터중문대포해안주상절리대,285,1100,1385,1
874,제일교동문시장입구,88,1292,1380,0
342,삼무공원,1223,126,1349,0
1214,구좌중앙초등학교,815,530,1345,0
318,연동주민센터,252,1091,1343,0
322,서문시장,1084,250,1334,0
391,삼무공원사거리,1089,244,1333,0
3275,제주지방법원(광양방면),1046,279,1325,0
2379,표선환승정류장(표선면사무소),1165,124,1289,1
96,제주민속오일장,670,618,1288,1
291,천수동,746,536,1282,0
747,비자림,856,407,1263,1
1253,성판악,820,429,1249,1
36,현사마을,370,859,1229,0
148,남서광마을입구,687,539,1226,0
2674,성판악,429,765,1194,1
1219,월정리,686,503,1189,1
2233,표선환승정류장(표선면사무소),65,1124,1189,1
294,고으니모르국립제주박물관,560,619,1179,0
200,제주대학교,387,784,1171,0
