station_id,station_name,station_y,station_x,citizen_user_count,tourist_user_count,citizen_tag_count,tourist_tag_count,total_user_count,total_tag_count,station_address
1,국제여객선터미널,33.52438,126.54433,5375.0,750.0,5098.0,689.0,6125.0,5787.0,제주특별자치도 제주시 건입동 908-20
2,오광로입구,33.49527,126.45618,8646.0,2077.0,8354.0,1961.0,10723.0,10315.0,제주특별자치도 제주시 이호이동 1587-4
3,오광로입구,33.495459999999994,126.45623,955.0,273.0,926.0,258.0,1228.0,1184.0,제주특별자치도 제주시 이호이동 1587-1
4,이호2동,33.49488,126.46137,9913.0,185.0,9845.0,170.0,10098.0,10015.0,제주특별자치도 제주시 이호이동 803-6
5,이호2동,33.49508,126.46122,3012.0,108.0,2984.0,104.0,3120.0,3088.0,제주특별자치도 제주시 이호이동 803-5
6,노형주공아파트,33.4906,126.47393000000001,4205.0,13.0,4152.0,13.0,4218.0,4165.0,제주특별자치도 제주시 노형동 2577-2
7,노형주공아파트,33.49068,126.47418,10278.0,95.0,10202.0,94.0,10373.0,10296.0,제주특별자치도 제주시 노형동 1238-1
8,못가름,33.48843,126.47678,1552.0,42.0,1536.0,41.0,1594.0,1577.0,제주특별자치도 제주시 노형동 1297-5
9,노형우체국,33.48765,126.47726000000002,28973.0,352.0,28664.0,341.0,29325.0,29005.0,제주특별자치도 제주시 노형동 1064-6
10,노형우체국,33.48709,126.47833,16831.0,232.0,16593.0,216.0,17063.0,16809.0,제주특별자치도 제주시 노형동 1297-5
11,노형오거리,33.48503,126.48013,34248.0,1024.0,33639.0,937.0,35272.0,34576.0,제주특별자치도 제주시 노형동 919
12,롯데마트,33.4819,126.48218,12081.0,182.0,11970.0,179.0,12263.0,12149.0,제주특별자치도 제주시 노형동 711-6
13,롯데마트,33.48215,126.4824,19714.0,314.0,19461.0,295.0,20028.0,19756.0,제주특별자치도 제주시 노형동 767
14,비석동,33.48838,126.4179,1389.0,91.0,1351.0,87.0,1480.0,1438.0,제주특별자치도 제주시 애월읍 하귀1리 3010
15,관전동,33.48883,126.41909,5140.0,123.0,5085.0,116.0,5263.0,5201.0,제주특별자치도 제주시 애월읍 하귀1리 264-7
16,관전동,33.48983,126.42015,569.0,20.0,566.0,18.0,589.0,584.0,제주특별자치도 제주시 애월읍 하귀1리 13
17,연대마을,33.49129,126.4228,1412.0,152.0,1381.0,137.0,1564.0,1518.0,제주특별자치도 제주시 외도일동 2111-1
18,연대마을,33.49174,126.42325,864.0,97.0,846.0,90.0,961.0,936.0,제주특별자치도 제주시 외도일동 2552-1
19,수정동,33.49264,126.42858999999999,3736.0,562.0,3670.0,535.0,4298.0,4205.0,제주특별자치도 제주시 외도일동 646-1
20,연대마을,33.49282,126.42858000000001,5355.0,478.0,5215.0,454.0,5833.0,5669.0,제주특별자치도 제주시 외도이동 2552
21,모감동,33.47573,126.38115,988.0,177.0,950.0,172.0,1165.0,1122.0,제주특별자치도 제주시 애월읍 구엄리 930-1
22,모감동,33.47591,126.38108000000001,505.0,215.0,486.0,202.0,720.0,688.0,제주특별자치도 제주시 애월읍 구엄리 860-5
23,번대동,33.47889,126.39157,471.0,203.0,457.0,194.0,674.0,651.0,제주특별자치도 제주시 애월읍 구엄리 50-1
24,번대동,33.478840000000005,126.39263999999999,1670.0,244.0,1640.0,232.0,1914.0,1872.0,제주특별자치도 제주시 애월읍 하귀2리 2970-1
25,하귀리,33.47955,126.39517,176.0,35.0,170.0,33.0,211.0,203.0,제주특별자치도 제주시 애월읍 하귀2리 2442
26,하귀초등학교,33.48017,126.40212,25639.0,1142.0,25247.0,1097.0,26781.0,26344.0,제주특별자치도 제주시 애월읍 하귀2리 1908-2
27,외도초등학교,33.49342,126.43321,18844.0,686.0,18597.0,657.0,19530.0,19254.0,제주특별자치도 제주시 외도이동 234-25
28,외도초등학교,33.4939,126.4344,11489.0,332.0,11306.0,321.0,11821.0,11627.0,제주특별자치도 제주시 외도이동 272-38
29,내도동서마을,33.49393,126.43848,3551.0,151.0,3525.0,149.0,3702.0,3674.0,제주특별자치도 제주시 내도동 580-8
30,내도동서마을,33.49415,126.43845,1486.0,86.0,1464.0,84.0,1572.0,1548.0,제주특별자치도 제주시 내도동 580-1
31,내도동동마을,33.49309,126.44243,4375.0,267.0,4332.0,257.0,4642.0,4589.0,제주특별자치도 제주시 내도동 310-6
32,내도동동마을,33.49324,126.44242,2247.0,69.0,2209.0,66.0,2316.0,2275.0,제주특별자치도 제주시 내도동 351-9
33,신산마을,33.493520000000004,126.44445,1914.0,128.0,1878.0,123.0,2042.0,2001.0,제주특별자치도 제주시 내도동 896
34,신산마을,33.493520000000004,126.44538999999999,5722.0,373.0,5665.0,345.0,6095.0,6010.0,제주특별자치도 제주시 내도동 274-8
35,현사마을,33.4947,126.45023,143.0,23.0,140.0,22.0,166.0,162.0,제주특별자치도 제주시 이호일동 1905-8
36,현사마을,33.49473,126.44961,4730.0,1222.0,4561.0,1190.0,5952.0,5751.0,제주특별자치도 제주시 이호일동 1962
37,하귀초등학교,33.48022,126.40105,14591.0,722.0,14434.0,695.0,15313.0,15129.0,제주특별자치도 제주시 애월읍 하귀2리 3016
38,하귀우체국,33.48122,126.4045,17189.0,182.0,16884.0,173.0,17371.0,17057.0,제주특별자치도 제주시 애월읍 하귀2리 3016
39,하귀우체국,33.4813,126.40443,5011.0,262.0,4951.0,255.0,5273.0,5206.0,제주특별자치도 제주시 애월읍 하귀2리 3016
40,안남동,33.48238,126.40616000000001,758.0,89.0,755.0,89.0,847.0,844.0,제주특별자치도 제주시 애월읍 하귀1리 3013
41,안남동,33.48251,126.40661999999999,3626.0,111.0,3590.0,108.0,3737.0,3698.0,제주특별자치도 제주시 애월읍 하귀1리 1375
42,남주동,33.48368,126.40847,3756.0,127.0,3693.0,117.0,3883.0,3810.0,제주특별자치도 제주시 애월읍 하귀1리 1362-1
43,남주동,33.48405,126.40876000000002,3321.0,223.0,3240.0,216.0,3544.0,3456.0,제주특별자치도 제주시 애월읍 하귀1리 3013
44,하귀환승정류장(하귀하나로마트),33.48567,126.4121,11071.0,345.0,10943.0,330.0,11416.0,11273.0,제주특별자치도 제주시 애월읍 하귀1리 569-3
45,하귀환승정류장(하귀하나로마트),33.48578,126.41171000000001,6074.0,296.0,5993.0,274.0,6370.0,6267.0,제주특별자치도 제주시 애월읍 하귀1리 488-2
46,큰구릉내,33.48655,126.41353000000001,866.0,73.0,858.0,73.0,939.0,931.0,제주특별자치도 제주시 애월읍 하귀1리 477-3
47,학원동,33.47493,126.39766000000002,2114.0,21.0,2100.0,18.0,2135.0,2118.0,제주특별자치도 제주시 애월읍 하귀2리 3018
48,학원동,33.474759999999996,126.39706000000001,28.0,1.0,28.0,1.0,29.0,29.0,제주특별자치도 제주시 애월읍 하귀2리 2297-3
49,외도부영2차아파트,33.48488,126.43073999999999,11452.0,30.0,11288.0,30.0,11482.0,11318.0,제주특별자치도 제주시 외도일동 644-6
50,외도부영2차아파트,33.48483,126.43098,15448.0,53.0,15315.0,53.0,15501.0,15368.0,제주특별자치도 제주시 외도일동 646-1
51,도평초등학교,33.48185,126.44561999999999,5769.0,38.0,5647.0,37.0,5807.0,5684.0,제주특별자치도 제주시 도평동 1351-1
52,도평초등학교,33.48168,126.44555,3400.0,12.0,3364.0,12.0,3412.0,3376.0,제주특별자치도 제주시 도평동 1352-3
53,아름마을아파트,33.483979999999995,126.42908,5677.0,10.0,5649.0,9.0,5687.0,5658.0,제주특별자치도 제주시 외도일동 1587-2
54,아름마을아파트,33.48413,126.42833999999999,980.0,0.0,976.0,0.0,980.0,976.0,제주특별자치도 제주시 외도일동 646-1
55,계명동,33.4855,126.4268,456.0,1.0,453.0,1.0,457.0,454.0,제주특별자치도 제주시 외도일동 646-1
56,계명동,33.485929999999996,126.42662,3182.0,4.0,3142.0,4.0,3186.0,3146.0,제주특별자치도 제주시 외도일동 1609-1
57,한라주택,33.48807,126.4268,591.0,8.0,584.0,8.0,599.0,592.0,제주특별자치도 제주시 외도일동 646-1
58,계명동입구,33.48803,126.42665,3169.0,18.0,3152.0,17.0,3187.0,3169.0,제주특별자치도 제주시 외도일동 646-1
59,일우한란아파트,33.492509999999996,126.43087,5868.0,66.0,5785.0,62.0,5934.0,5847.0,제주특별자치도 제주시 외도일동 646-1
60,일우한란아파트,33.4926,126.43101999999999,13016.0,557.0,12840.0,531.0,13573.0,13371.0,제주특별자치도 제주시 외도일동 426-1
61,우령이마을,33.4885,126.4308,13228.0,22.0,13096.0,22.0,13250.0,13118.0,제주특별자치도 제주시 외도일동 498-9
62,우령마을입구,33.488459999999996,126.43099,19261.0,134.0,19068.0,129.0,19395.0,19197.0,제주특별자치도 제주시 외도일동 646-1
63,외도부영1차아파트,33.48635,126.43097,23450.0,133.0,23214.0,130.0,23583.0,23344.0,제주특별자치도 제주시 외도일동 646-1
64,하귀리,33.47931,126.39563999999999,20.0,4.0,19.0,4.0,24.0,23.0,제주특별자치도 제주시 애월읍 하귀2리 2424-7
65,연미마을회관,33.486540000000005,126.50488999999999,337.0,2.0,336.0,2.0,339.0,338.0,제주특별자치도 제주시 오라이동 3044-3
66,연미마을회관,33.48665,126.5048,428.0,1.0,426.0,1.0,429.0,427.0,제주특별자치도 제주시 오라이동 3034-1
67,연미마을,33.486999999999995,126.50738,477.0,2.0,475.0,2.0,479.0,477.0,제주특별자치도 제주시 오라이동 1918-2
68,연미마을,33.48686,126.50708999999999,440.0,13.0,437.0,12.0,453.0,449.0,제주특별자치도 제주시 오라이동 1946-1
69,연미입구,33.48762,126.50838,462.0,2.0,462.0,2.0,464.0,464.0,제주특별자치도 제주시 오라이동 1843-2
70,연미입구,33.48772,126.50846000000001,421.0,2.0,416.0,2.0,423.0,418.0,제주특별자치도 제주시 오라이동 3827-6
71,오라초등학교,33.48908,126.51238000000001,55.0,0.0,55.0,0.0,55.0,55.0,제주특별자치도 제주시 오라이동 1364-10
72,오라초등학교,33.48916,126.5125,3066.0,0.0,3038.0,0.0,3066.0,3038.0,제주특별자치도 제주시 오라이동 1373-3
73,제주시보건소,33.49129,126.51937,913.0,6.0,911.0,6.0,919.0,917.0,제주특별자치도 제주시 오라일동 1044-12
74,보건소,33.49108,126.51957,2727.0,39.0,2714.0,34.0,2766.0,2748.0,제주특별자치도 제주시 도남동 1039-3
75,오라1동,33.49225,126.5173,4125.0,30.0,4096.0,29.0,4155.0,4125.0,제주특별자치도 제주시 오라일동 1042-6
76,오라1동,33.49263,126.51621999999999,4039.0,31.0,4003.0,30.0,4070.0,4033.0,제주특별자치도 제주시 오라일동 1001-9
77,사평마을,33.49287,126.51245,6271.0,44.0,6233.0,41.0,6315.0,6274.0,제주특별자치도 제주시 오라이동 1209-4
78,사평마을,33.49257,126.51321999999999,10297.0,43.0,10242.0,42.0,10340.0,10284.0,제주특별자치도 제주시 오라이동 1212-1
79,동성마을입구,33.4932,126.50753,2693.0,81.0,2653.0,75.0,2774.0,2728.0,제주특별자치도 제주시 오라삼동 2138-1
80,연미마을입구,33.492979999999996,126.5075,3429.0,67.0,3397.0,64.0,3496.0,3461.0,제주특별자치도 제주시 오라삼동 2107-3
83,수산리사무소앞,33.46794000000001,126.39339,3447.0,71.0,3398.0,68.0,3518.0,3466.0,제주특별자치도 제주시 애월읍 수산리 506-2
84,수산리사무소앞,33.46765,126.39336999999999,11074.0,193.0,10920.0,184.0,11267.0,11104.0,제주특별자치도 제주시 애월읍 수산리 463-12
85,수산리사무소,33.46954,126.39457,1098.0,17.0,1087.0,17.0,1115.0,1104.0,제주특별자치도 제주시 애월읍 수산리 531-1
86,수산리,33.46995,126.39453999999999,84.0,3.0,83.0,3.0,87.0,86.0,제주특별자치도 제주시 애월읍 수산리 550-1
87,세기아파트,33.49335,126.5015,6845.0,92.0,6803.0,90.0,6937.0,6893.0,제주특별자치도 제주시 오라삼동 2724-2
88,세기아파트,33.493559999999995,126.50055,1588.0,24.0,1571.0,22.0,1612.0,1593.0,제주특별자치도 제주시 오라삼동 2728-2
89,신광사거리,33.49365,126.49318000000001,3087.0,632.0,3002.0,593.0,3719.0,3595.0,제주특별자치도 제주시 연동 305-3
90,신성마을,33.49367,126.48916000000001,5817.0,405.0,5757.0,371.0,6222.0,6128.0,제주특별자치도 제주시 연동 2335-4
91,신성마을,33.493829999999996,126.48852,6825.0,1147.0,6605.0,1045.0,7972.0,7650.0,제주특별자치도 제주시 연동 1941-1
92,제성마을,33.49361,126.4854,5174.0,158.0,5122.0,147.0,5332.0,5269.0,제주특별자치도 제주시 연동 2335-4
93,제성마을,33.49374,126.48403,5642.0,741.0,5435.0,681.0,6383.0,6116.0,제주특별자치도 제주시 연동 2419-3
94,제주서중학교,33.49351,126.48168000000001,1723.0,51.0,1694.0,50.0,1774.0,1744.0,제주특별자치도 제주시 연동 2395-1
95,제주서중학교,33.49367,126.48135,3584.0,143.0,3476.0,138.0,3727.0,3614.0,제주특별자치도 제주시 연동 2412-1
96,제주민속오일장,33.493759999999995,126.4767,27875.0,1645.0,27313.0,1551.0,29520.0,28864.0,제주특별자치도 제주시 노형동 1142-3
