STATION_NM,LOCAL_X,LOCAL_Y,USAGE
제주시청(광양방면),126.53035,33.49892,247444
제주시청(아라방면),126.52977,33.499559999999995,198512
제주시외버스터미널,126.51478999999999,33.49946,177016
제주대학교,126.56166,33.46011,156235
제주국제공항(구제주방면),126.49345,33.506609999999995,146390
한라병원,126.48508000000001,33.48944,141902
제주국제공항(신제주방면),126.49275,33.5061,128798
시외버스출발지(가상정류소),126.51478,33.49946,126743
한라병원,126.486,33.48963,124405
제주버스터미널,126.51486000000001,33.49993,124086
제주도청신제주로터리,126.49678,33.49143,102680
동문로터리(동문시장),126.52795,33.512950000000004,101849
중앙로(국민은행),126.5239,33.51073,93367
중앙로터리(동),126.56135,33.25297,92609
제주중앙여자고등학교(광양방면),126.5392,33.489020000000004,90721
제주지방법원(광양방면),126.53476,33.493629999999996,81966
노형오거리,126.48092,33.486670000000004,80873
동문로터리(동문시장),126.52706,33.51315,80308
고산동산(광양방면),126.53291000000002,33.495540000000005,80075
제주여자중고등학교(광양방면),126.54288999999999,33.4852,75897
제주고등학교/중흥S클래스,126.48141000000001,33.476259999999996,75544
아라주공아파트,126.54569,33.473079999999996,75078
중앙로터리,126.56058,33.25285,68358
화북남문,126.56512,33.5189,68162
제주도청신제주로터리,126.49647,33.4911,68011
제주은행,126.56356000000001,33.24807,64632
제주버스터미널,126.51471000000001,33.5002,63538
동광양,126.5322,33.50202,62268
서귀포시구시외버스터미널,126.56052,33.25217,62254
인화초등학교,126.53936999999999,33.506679999999996,61341
중앙로(현대약국),126.52421000000001,33.51089,60326
천수동,126.5419,33.50847,57914
구터미널,126.56024,33.25203,56431
제주여자상업고등학교,126.53652,33.51393,55575
은남동,126.4909,33.485820000000004,54381
제주대학교병원,126.54777,33.469159999999995,54334
관덕정,126.52088,33.513220000000004,52975
연동주민센터,126.49662,33.48731,52512
함덕환승정류장(함덕해수욕장),126.66913999999998,33.54101,51774
삼양동주민센터,126.58567,33.52128,49711
제주월드컵경기장서귀포버스터미널,126.509,33.24912,47788
한국병원,126.51768999999999,33.499790000000004,47759
제주동중학교,126.57078,33.51958,47627
제주한라대학교,126.47511999999999,33.47833,47103
광양사거리,126.5271,33.50047,47096
중문환승정류장(중문우체국),126.42339,33.25189,46967
남서광마을입구,126.52126000000001,33.49968,46861
제주월드컵경기장,126.50862,33.24948,46713
제주지방법원(아라방면),126.53509,33.493109999999994,44984
아라동주민센터,126.5449,33.4759,44745
고산동산(아라방면),126.53228,33.496,44370
천수동,126.54257,33.50934,44011
탐라장애인종합복지관,126.52583,33.50002,43347
시민회관,126.52455,33.5071,42650
제주동중학교,126.5723,33.52001,42100
제주중앙여자고등학교(아라방면),126.53863999999999,33.48941,41239
제주대학교,126.56161999999999,33.45989,40834
제주여자중고등학교(아라방면),126.54293,33.48486,40748
"제주국제공항(일주동로,516도로)",126.49335,33.50669,40009
서귀포등기소,126.56015,33.25314,39869
남국원(광양방면),126.54388,33.47957,39121
동문로터리,126.56853000000001,33.24859,38947
한림환승정류장(한림리),126.26427,33.41453,38821
노형오거리,126.48057,33.48666,38712
화북휴먼시아,126.57468,33.51737,38333
서귀포시외버스터미널(가상정류소),126.50813000000001,33.248940000000005,37981
용문사거리,126.51023,33.50866,37675
"제주국제공항(대정,화순,일주서로)",126.49298,33.506440000000005,37377
정존마을,126.47352,33.481809999999996,37360
삼무공원사거리,126.48892,33.4899,36725
인다마을,126.54581999999999,33.47064,36549
남녕고등학교,126.48311000000001,33.488040000000005,35866
제원아파트,126.48988999999999,33.48753,35640
노형오거리,126.48013,33.48503,35272
제주국제공항(600번),126.49252,33.50577,34399
도호동,126.49492,33.485659999999996,33706
시민회관,126.5247,33.507329999999996,33643
중문초등학교,126.42988000000001,33.25135,33282
오현중고등학교,126.55707,33.51518,33183
중앙로(동문시장),126.52457,33.51168,33066
인화초등학교,126.53888,33.50602,32343
중문환승정류장(중문우체국),126.4238,33.2518,32059
동광환승정류장4(제주방면),126.34098999999999,33.31044,31962
제주동초등학교,126.53221,33.51332,31570
한림환승정류장(한림리),126.26336,33.41437,31510
동광양,126.53222,33.5022,31469
성산환승정류장(고성리한국물류),126.91378999999999,33.44744,31177
용담1동주민센터,126.51323000000001,33.50973,31089
제주국제공항,126.49455,33.5045,30984
연동대림1차아파트,126.48993,33.4807,29972
관덕정,126.52096,33.51293,29791
표선환승정류장(표선면사무소),126.83235,33.32658,29712
제주민속오일장,126.4767,33.493759999999995,29520
용문사거리,126.51005,33.50881,29404
노형우체국,126.47726000000002,33.48765,29325
월랑마을남녕고등학교,126.48218999999999,33.4877,29283
서귀북초등학교,126.55896000000001,33.26095,28906
삼양초등학교,126.58611,33.52112,28614
화북남문,126.56598000000001,33.51858,28237
제주민속오일장,126.47763,33.493520000000004,28224
광양,126.52796000000001,33.502109999999995,27963
화북주공아파트,126.57471000000001,33.52121,27809
원노형,126.48076,33.48345,27442
문예회관,126.53691,33.50463,27257
남서광마을,126.52376000000001,33.499790000000004,27025
하귀초등학교,126.40212,33.48017,26781
삼양2동,126.58236000000001,33.52128,26737
서문시장,126.51845,33.512029999999996,26481
광양,126.52806000000001,33.502320000000005,26052
성산일출봉입구,126.93377,33.46376,25612
함덕환승정류장(함덕해수욕장),126.66877,33.54101,25287
산천단한국폴리텍대학,126.55558,33.447990000000004,25120
보성시장,126.52726000000001,33.50342,24983
삼성초등학교,126.52663999999999,33.5041,24832
세화환승정류장(세화리),126.8566,33.52325,24736
중앙로(중앙성당),126.52447,33.512,24398
하모2리,126.25277,33.22146,24236
남군농협,126.565,33.2482,24102
외도부영1차아파트,126.43097,33.48635,23583
제주대학교병원,126.54739,33.46909,23407
남국원(아라방면),126.54381000000001,33.47971,22925
신촌초등학교,126.61877,33.53275,22766
정존마을,126.4733,33.481320000000004,22615
정부제주지방합동청사,126.5266,33.4923,22596
중문초등학교,126.42981999999999,33.25147,22337
연동주민센터,126.49636000000001,33.48815,21742
제주여자상업고등학교,126.53696000000001,33.51383,21673
은남동,126.49248,33.48588,21643
정부제주지방합동청사,126.52738000000001,33.49205,21628
큰동네,126.59697,33.48923,21576
한라수목원,126.48491000000001,33.469840000000005,21522
봉개동,126.59275,33.49154,21452
중문동,126.4269,33.25155,21100
서문시장,126.51767,33.511759999999995,20870
비석거리,126.57745,33.25578,20708
성산항,126.92993999999999,33.47043,20597
용천마을,126.52135,33.49991,20486
도호동,126.49501000000001,33.48581,20388
용담1동주민센터,126.51333000000001,33.50995,20166
롯데마트,126.4824,33.48215,20028
한라중학교/부영아파트,126.48383000000001,33.47887,19846
한국병원,126.51807,33.50005,19775
외도초등학교,126.43321,33.49342,19530
삼무공원사거리,126.48853000000001,33.49001,19509
제주동초등학교,126.5328,33.51328,19404
우령마을입구,126.43099,33.488459999999996,19395
케이티앤지,126.48535,33.48207,19375
조천환승정류장(조천우체국),126.63877,33.5377,18713
서귀포여자고등학교,126.53168000000001,33.24438,18459
문예회관,126.53703,33.504490000000004,18428
청소년문화의집,126.56405,33.25088,18120
부영아파트,126.48313,33.4769,17688
주공아파트5단지,126.56115,33.2646,17468
NHF삼화1단지,126.5821,33.51746,17407
도련1동,126.59003,33.50906,17374
하귀우체국,126.4045,33.48122,17371
한담동,126.31278,33.46243,17258
노형우체국,126.47833,33.48709,17063
산남새마을금고,126.57378,33.254909999999995,16942
"제주국제공항(평화로, 800번)",126.49288,33.50659,16872
고성리제주은행,126.916,33.448679999999996,16848
노형초등학교,126.47596000000001,33.48353,16644
백록초등학교,126.47065,33.48458,16526
제주한라대학교,126.47516,33.47808,16468
제주관광대학(가상),126.43583000000001,33.4482,16244
홍랑로입구,126.52387,33.499970000000005,16218
제주관광대학,126.43653,33.447309999999995,15812
제주중학교/제주향교,126.5157,33.51078,15800
함덕농협지소,126.66448999999999,33.542320000000004,15624
삼무공원,126.4924,33.4898,15619
대림2차아파트,126.48835,33.47885,15583
삼화지구,126.57886,33.51743,15575
외도부영2차아파트,126.43098,33.48483,15501
표선환승정류장(표선리사무소),126.83246000000001,33.32528,15464
동광환승정류장5(서귀방면),126.34083000000001,33.30958,15460
제주중앙고등학교,126.57158000000001,33.47162,15402
김녕환승정류장(김녕초등학교),126.75125,33.55503,15355
하귀초등학교,126.40105,33.48022,15313
동산교,126.51026999999999,33.50028,15311
회천입구,126.5984,33.489000000000004,15266
"제주국제공항(평화로,800번)",126.49271999999999,33.50636,15176
노형오거리,126.47796000000001,33.485209999999995,15152
조천리,126.63625,33.535779999999995,15127
화순환승정류장(안덕농협),126.33507,33.246520000000004,15118
모슬포남항여객선터미널(운진항),126.25748,33.21119,15078
하모3리,126.25107,33.221579999999996,14995
중문관광단지입구,126.41261999999999,33.25593,14927
월성마을,126.50338,33.50419,14859
서해아파트,126.54151999999999,33.504259999999995,14858
신촌리,126.62168,33.53463,14792
제주대학교교육대학,126.55388,33.5137,14620
아라주공아파트,126.54542,33.473659999999995,14588
원노형,126.47993000000001,33.48467,14562
서해아파트,126.54153000000001,33.50488,14562
대정환승정류장(대정읍사무소),126.25295,33.225770000000004,14280
제원아파트,126.49013000000001,33.48845,14149
구삼일금고,126.56168000000001,33.2492,14085
대정농협,126.25226,33.22214,13835
청소년문화의집,126.56505,33.25043,13798
제주대학교입구,126.55105,33.45673,13597
해안동입구,126.45299999999999,33.463159999999995,13588
일우한란아파트,126.43101999999999,33.4926,13573
협재해수욕장,126.24098000000001,33.39421,13554
주공34단지,126.5729,33.25115,13532
제주제일고등학교,126.48196999999999,33.48008,13443
영주고등학교,126.57786000000002,33.457190000000004,13401
우령이마을,126.4308,33.4885,13250
월산마을,126.46346000000001,33.47305,13164
표선환승정류장(표선리제주은행),126.83322,33.32662,13100
동광환승정류장2(영어교육도시방면),126.33936000000001,33.310340000000004,13070
오현중고등학교,126.55861000000002,33.515609999999995,12944
함덕리(3구),126.6666,33.541709999999995,12758
신성여자중고등학교,126.56138999999999,33.4781,12746
신흥리(마을입구)함덕고등학교,126.65364,33.5436,12738
대유대림아파트,126.5526,33.5024,12724
하귀하나로마트,126.41106,33.4848,12586
대기고등학교,126.59361000000001,33.49168,12561
남원읍사무소,126.72102,33.27957,12497
대유대림아파트,126.55272,33.50245,12436
용문마을,126.50936000000002,33.507259999999995,12371
롯데마트,126.48218,33.4819,12263
남원포구입구,126.71777,33.27871,12179
효돈초등학교,126.61641000000002,33.26375,12171
아라초등학교,126.54428,33.47653,12097
삼성여자고등학교,126.58478000000001,33.25732,12065
고으니모르국립제주박물관,126.55096,33.512609999999995,11997
성산환승정류장(고성리회전교차로),126.91378,33.44728,11986
동미빌딩,126.56658,33.24866,11833
외도초등학교,126.4344,33.4939,11821
남원환승정류장(남원읍사무소),126.72113999999999,33.28053,11639
제주대학교병원,126.54501,33.46784,11571
대학동,126.50667,33.51305,11527
대림아파트,126.55038,33.49988,11522
세화환승정류장(세화리),126.85556000000001,33.523379999999996,11516
오름중학교,126.58582,33.51729,11497
외도부영2차아파트,126.43073999999999,33.48488,11482
외도부영1차아파트,126.43083,33.48675,11472
거로입구,126.55623999999999,33.51464,11438
성산포수협표선지점,126.83173000000001,33.32405,11417
하귀환승정류장(하귀하나로마트),126.4121,33.48567,11416
애월고등학교,126.33455,33.46243,11414
봉개동주민센터,126.59445,33.49073,11343
고성리구성산농협,126.91496000000001,33.44798,11328
남원읍사무소,126.71975,33.2794,11315
제주여자중고등학교제주지방해양경찰청,126.54182,33.48516,11300
수산리사무소앞,126.39336999999999,33.46765,11267
보건소,126.52207,33.49212,11245
영평동,126.56325,33.47931,11215
고산동산,126.53302,33.49463,11203
삼아아파트,126.57441999999999,33.25189,11191
국립제주박물관,126.54997,33.51248,11122
신사동,126.67575,33.53483,11035
매일올레시장7번입구,126.56706000000001,33.24909,10963
사라봉오거리,126.54158000000001,33.513529999999996,10830
삼무공원,126.49127,33.48997,10743
오광로입구,126.45618,33.49527,10723
제주국제컨벤션센터,126.42466,33.2434,10719
연동한일시티파크,126.48878,33.49152,10718
오라오거리,126.50465,33.500029999999995,10625
월랑초등학교,126.4791,33.49265,10614
신시가지,126.50628,33.24978,10614
남원포구입구,126.71773,33.27887,10517
노형주공아파트,126.47418,33.49068,10373
탐라장애인종합복지관,126.52563,33.50023,10345
인화동,126.53981999999999,33.50888,10340
사평마을,126.51321999999999,33.49257,10340
삼양1동,126.59,33.52763,10222
