geton_stataion_name,usage
한라병원,2913
제주시청(광양방면),2911
제주대학교,2710
제주시청(아라방면),2480
동문로터리(동문시장),2240
제주시외버스터미널,2206
제주버스터미널,2130
노형오거리,1899
제주도청신제주로터리,1789
제주국제공항(구제주방면),1745
시외버스출발지(가상정류소),1642
제주국제공항(신제주방면),1541
천수동,1209
중앙로(국민은행),1152
화북남문,1128
제주동중학교,1094
동광양,1030
인화초등학교,1023
아라주공아파트,1015
제주민속오일장,1001
제주중앙여자고등학교(광양방면),975
중앙로터리(동),963
관덕정,935
제주한라대학교,920
제주지방법원(광양방면),904
제주여자상업고등학교,895
중문환승정류장(중문우체국),886
제주대학교병원,869
고산동산(광양방면),864
함덕환승정류장(함덕해수욕장),862
제주여자중고등학교(광양방면),821
중앙로터리,817
시민회관,808
은남동,803
용문사거리,787
연동주민센터,772
제주고등학교/중흥S클래스,757
제주은행,754
한림환승정류장(한림리),740
정존마을,713
구터미널,703
서귀포시구시외버스터미널,703
한국병원,695
중앙로(현대약국),675
제주월드컵경기장,655
중문초등학교,646
삼양동주민센터,627
탐라장애인종합복지관,624
원노형,615
제주월드컵경기장서귀포버스터미널,603
삼무공원사거리,601
동문로터리,581
도호동,577
용담1동주민센터,575
광양,558
제원아파트,549
제주동초등학교,547
서귀포시외버스터미널(가상정류소),547
서문시장,537
광양사거리,529
인다마을,528
제주중앙여자고등학교(아라방면),520
문예회관,517
고산동산(아라방면),511
제주지방법원(아라방면),504
아라동주민센터,490
오현중고등학교,481
노형우체국,478
화북휴먼시아,477
남국원(광양방면),471
남서광마을입구,471
제주여자중고등학교(아라방면),463
비석거리,460
하귀초등학교,455
"제주국제공항(일주동로,516도로)",447
"제주국제공항(대정,화순,일주서로)",437
정부제주지방합동청사,436
"제주국제공항(평화로,800번)",436
제주국제공항(600번),434
화북주공아파트,431
서귀포등기소,429
외도부영1차아파트,414
산천단한국폴리텍대학,412
삼양2동,404
성산일출봉입구,403
연동대림1차아파트,402
남녕고등학교,382
표선환승정류장(표선면사무소),371
신촌초등학교,365
제주관광대학,354
동광환승정류장4(제주방면),351
중앙로(동문시장),350
청소년문화의집,347
서귀북초등학교,346
제주국제공항,346
외도초등학교,345
롯데마트,344
세화환승정류장(세화리),344
제주대학교입구,337
중문동,330
월랑마을남녕고등학교,324
삼양초등학교,319
큰동네,313
성산환승정류장(고성리한국물류),310
외도부영2차아파트,304
봉개동,303
한라수목원,290
서해아파트,288
한담동,285
남원포구입구,279
중앙로(중앙성당),277
남서광마을,274
제주대학교교육대학,273
삼무공원,273
하모2리,270
남국원(아라방면),264
남군농협,264
화순환승정류장(안덕농협),261
노형초등학교,259
용천마을,257
하귀우체국,254
대유대림아파트,253
삼성초등학교,252
남원읍사무소,246
조천리,245
주공34단지,244
보성시장,240
백록초등학교,240
서귀포여자고등학교,239
성산항,239
신촌리,232
아라초등학교,228
일우한란아파트,228
삼화지구,227
제주관광대학(가상),223
도련1동,222
함덕리(3구),220
김녕환승정류장(김녕초등학교),216
한라중학교/부영아파트,214
우령마을입구,212
부영아파트,207
하귀환승정류장(하귀하나로마트),204
조천환승정류장(조천우체국),202
대림아파트,202
거로입구,201
세기아파트,198
중문관광단지입구,198
제주제일고등학교,198
월산마을,197
보건소,194
사대부고,192
남녕마트,190
성판악,190
케이티앤지,189
주공아파트5단지,189
남원환승정류장(남원읍사무소),189
함덕농협지소,189
용문마을회관,189
월랑초등학교,187
사평마을,184
고성리제주은행,180
산남새마을금고,180
동광환승정류장5(서귀방면),179
하귀하나로마트,178
용문마을,178
렛츠런파크,178
성산항입구,176
대학동,176
모슬포남항여객선터미널(운진항),176
인화동,176
동홍사거리,175
NHF삼화1단지,175
동산교,172
대림2차아파트,171
효돈초등학교,170
노형주공아파트,170
남성마을입구,169
제주국제대학교,166
홍랑로입구,165
표선환승정류장(표선리사무소),165
천제연폭포,163
대기고등학교,162
해안동입구,162
토평마을회관,161
대정환승정류장(대정읍사무소),161
신시가지,158
삼성여자고등학교,157
신흥리(마을입구)함덕고등학교,156
남원1리사무소,154
이호2동,154
협재해수욕장,154
제주중학교/제주향교,153
하모3리,152
구삼일금고,150
대평리,150
애월고등학교,148
중문고등학교,148
신성마을,147
삼아아파트,146
하원동,145
연동한일시티파크,143
수산리사무소앞,143
우령이마을,142
연동365의원,142
오름중학교,141
제주해변공연장,140
함덕비석거리,139
수협제주도지회,139
신사동(기점),139
(구)중앙파출소,138
표선환승정류장(표선리제주은행),138
고산동산,138
동미빌딩,138
대정농협,136
제주중앙고등학교,135
고으니모르국립제주박물관,135
신성여자중고등학교,134
삼화지구3단지,134
월성마을,134
산천단,134
봉개동주민센터,131
수선화아파트,131
도련초등학교,131
사라봉오거리,129
화북초등학교,128
창천리,126
신창환승정류장(한경면사무소),125
제주국제컨벤션센터,125
동광환승정류장2(영어교육도시방면),125
열린병원,125
성산포수협표선지점,125
신사동,124
애월환승정류장(애월리),124
제주여자중고등학교제주지방해양경찰청,124
평생학습관,123
연동입구,123
수모루,123
제주절물자연휴양림,122
매일올레시장7번입구,121
영주고등학교,121
국립제주박물관,120
신엄리,119
삼화부영1차아파트,117
광평,117
탑동입구,116
삼양1동,116
한마음병원,116
화북주공아파트입구,115
하례환승정류장(하례리입구),115
신천동,115
오광로입구,114
함덕리(4구),114
북촌리,113
제성마을,113
탐라중학교,112
효돈중학교,111
메종글래드제주,111
제주민속촌,110
월평마을,110
일도2동주민센터,109
오라오거리,109
금천마을,108
신설동,108
성산환승정류장(고성리회전교차로),108
고성리구성산농협,107
삼양종점,106
연대마을,106
붉은오름,105
무수천,105
도평초등학교,104
신협,102
탑동푸른쉼터,102
한림천주교회,100
영평상동마을회관,100
LH아파트,100
막상올레,97
한일베라체,97
한국국제학교,97
동광초등학교,96
동덕아파트,96
스위트호텔,95
서귀포여자중학교,95
보목신협,95
