STATION_NM,LOCAL_X,LOCAL_Y,USAGE,address
제주시청(광양방면),126.53035,33.49892,247444,제주특별자치도 제주시 이도이동 1938-1
제주시청(아라방면),126.52977,33.499559999999995,198512,제주특별자치도 제주시 이도이동 1938-1
제주시외버스터미널,126.51478999999999,33.49946,177016,제주특별자치도 제주시 오라일동 2455-16
제주대학교,126.56166,33.46011,156235,제주특별자치도 제주시 아라이동 35-4
제주국제공항(구제주방면),126.49345,33.506609999999995,146390,제주특별자치도 제주시 용담이동 1462-1
한라병원,126.48508000000001,33.48944,141902,제주특별자치도 제주시 연동 2335-4
제주국제공항(신제주방면),126.49275,33.5061,128798,제주특별자치도 제주시 용담이동 1984-5
시외버스출발지(가상정류소),126.51478,33.49946,126743,제주특별자치도 제주시 오라일동 2441-4
한라병원,126.486,33.48963,124405,제주특별자치도 제주시 연동 251-66
제주버스터미널,126.51486000000001,33.49993,124086,제주특별자치도 제주시 오라일동 2455-2
제주도청신제주로터리,126.49678,33.49143,102680,제주특별자치도 제주시 연동 301
동문로터리(동문시장),126.52795,33.512950000000004,101849,제주특별자치도 제주시 일도일동 1491-1
중앙로(국민은행),126.5239,33.51073,93367,제주특별자치도 제주시 이도일동 1466-1
중앙로터리(동),126.56135,33.25297,92609,제주특별자치도 서귀포시 서귀동 336
제주중앙여자고등학교(광양방면),126.5392,33.489020000000004,90721,제주특별자치도 제주시 이도이동 2060
제주지방법원(광양방면),126.53476,33.493629999999996,81966,제주특별자치도 제주시 이도이동 1085-4
노형오거리,126.48092,33.486670000000004,80873,제주특별자치도 제주시 노형동 948
동문로터리(동문시장),126.52706,33.51315,80308,제주특별자치도 제주시 일도일동 1478-9
고산동산(광양방면),126.53291000000002,33.495540000000005,80075,제주특별자치도 제주시 이도이동 1085-4
제주여자중고등학교(광양방면),126.54288999999999,33.4852,75897,제주특별자치도 제주시 아라일동 2420-5
제주고등학교/중흥S클래스,126.48141000000001,33.476259999999996,75544,제주특별자치도 제주시 노형동 765
아라주공아파트,126.54569,33.473079999999996,75078,제주특별자치도 제주시 아라일동 6174
중앙로터리,126.56058,33.25285,68358,제주특별자치도 서귀포시 서귀동 336
화북남문,126.56512,33.5189,68162,제주특별자치도 제주시 화북일동 1995-5
제주도청신제주로터리,126.49647,33.4911,68011,제주특별자치도 제주시 연동 301
제주은행,126.56356000000001,33.24807,64632,제주특별자치도 서귀포시 서귀동 274-11
제주버스터미널,126.51471000000001,33.5002,63538,제주특별자치도 제주시 용담일동 2830-6
동광양,126.5322,33.50202,62268,제주특별자치도 제주시 이도이동 1174-26
서귀포시구시외버스터미널,126.56052,33.25217,62254,제주특별자치도 서귀포시 서귀동 337
인화초등학교,126.53936999999999,33.506679999999996,61341,제주특별자치도 제주시 일도이동 449
중앙로(현대약국),126.52421000000001,33.51089,60326,제주특별자치도 제주시 이도일동 1471-3
천수동,126.5419,33.50847,57914,제주특별자치도 제주시 일도이동 449
구터미널,126.56024,33.25203,56431,제주특별자치도 서귀포시 서귀동 337
제주여자상업고등학교,126.53652,33.51393,55575,제주특별자치도 제주시 건입동 1047-1
은남동,126.4909,33.485820000000004,54381,제주특별자치도 제주시 연동 273
제주대학교병원,126.54777,33.469159999999995,54334,제주특별자치도 제주시 아라일동 1801-4
관덕정,126.52088,33.513220000000004,52975,제주특별자치도 제주시 삼도이동 995-1
연동주민센터,126.49662,33.48731,52512,제주특별자치도 제주시 연동 303
함덕환승정류장(함덕해수욕장),126.66913999999998,33.54101,51774,제주특별자치도 제주시 조천읍 함덕리 4143
삼양동주민센터,126.58567,33.52128,49711,제주특별자치도 제주시 삼양이동 2186-1
제주월드컵경기장서귀포버스터미널,126.509,33.24912,47788,제주특별자치도 서귀포시 법환동 816-9
한국병원,126.51768999999999,33.499790000000004,47759,제주특별자치도 제주시 삼도일동 585-35
제주동중학교,126.57078,33.51958,47627,제주특별자치도 제주시 화북일동 1239-11
제주한라대학교,126.47511999999999,33.47833,47103,제주특별자치도 제주시 노형동 1518-1
광양사거리,126.5271,33.50047,47096,제주특별자치도 제주시 이도일동 1775-21
중문환승정류장(중문우체국),126.42339,33.25189,46967,제주특별자치도 서귀포시 중문동 2087-14
남서광마을입구,126.52126000000001,33.49968,46861,제주특별자치도 제주시 삼도일동 585-35
제주월드컵경기장,126.50862,33.24948,46713,제주특별자치도 서귀포시 법환동 760
제주지방법원(아라방면),126.53509,33.493109999999994,44984,제주특별자치도 제주시 이도이동 1085-4
아라동주민센터,126.5449,33.4759,44745,제주특별자치도 제주시 아라일동 6174
고산동산(아라방면),126.53228,33.496,44370,제주특별자치도 제주시 이도이동 1085-4
천수동,126.54257,33.50934,44011,제주특별자치도 제주시 일도이동 449
탐라장애인종합복지관,126.52583,33.50002,43347,제주특별자치도 제주시 이도이동 1781-9
시민회관,126.52455,33.5071,42650,제주특별자치도 제주시 삼도이동 231-3
제주동중학교,126.5723,33.52001,42100,제주특별자치도 제주시 화북일동 1235-5
제주중앙여자고등학교(아라방면),126.53863999999999,33.48941,41239,제주특별자치도 제주시 이도이동 2060
제주대학교,126.56161999999999,33.45989,40834,제주특별자치도 제주시 아라일동 1
제주여자중고등학교(아라방면),126.54293,33.48486,40748,제주특별자치도 제주시 아라일동 2420-5
"제주국제공항(일주동로,516도로)",126.49335,33.50669,40009,제주특별자치도 제주시 용담이동 1462-1
서귀포등기소,126.56015,33.25314,39869,제주특별자치도 서귀포시 서홍동 441-39
남국원(광양방면),126.54388,33.47957,39121,제주특별자치도 제주시 아라이동 1582-6
동문로터리,126.56853000000001,33.24859,38947,제주특별자치도 서귀포시 서귀동 216-21
한림환승정류장(한림리),126.26427,33.41453,38821,제주특별자치도 제주시 한림읍 한림리 1582
노형오거리,126.48057,33.48666,38712,제주특별자치도 제주시 노형동 1297-5
화북휴먼시아,126.57468,33.51737,38333,제주특별자치도 제주시 화북일동 29-9
서귀포시외버스터미널(가상정류소),126.50813000000001,33.248940000000005,37981,제주특별자치도 서귀포시 법환동 843
용문사거리,126.51023,33.50866,37675,제주특별자치도 제주시 용담이동 2679-7
"제주국제공항(대정,화순,일주서로)",126.49298,33.506440000000005,37377,제주특별자치도 제주시 용담이동 1462-1
정존마을,126.47352,33.481809999999996,37360,제주특별자치도 제주시 노형동 2617-2
삼무공원사거리,126.48892,33.4899,36725,제주특별자치도 제주시 연동 260
인다마을,126.54581999999999,33.47064,36549,제주특별자치도 제주시 아라일동 6174
남녕고등학교,126.48311000000001,33.488040000000005,35866,제주특별자치도 제주시 노형동 948
제원아파트,126.48988999999999,33.48753,35640,제주특별자치도 제주시 연동 262-5
노형오거리,126.48013,33.48503,35272,제주특별자치도 제주시 노형동 919
제주국제공항(600번),126.49252,33.50577,34399,제주특별자치도 제주시 용담이동 1984-5
도호동,126.49492,33.485659999999996,33706,제주특별자치도 제주시 연동 293
시민회관,126.5247,33.507329999999996,33643,제주특별자치도 제주시 이도일동 1938
중문초등학교,126.42988000000001,33.25135,33282,제주특별자치도 서귀포시 중문동 2774
오현중고등학교,126.55707,33.51518,33183,제주특별자치도 제주시 화북일동 4668-5
중앙로(동문시장),126.52457,33.51168,33066,제주특별자치도 제주시 이도일동 1410-3
인화초등학교,126.53888,33.50602,32343,제주특별자치도 제주시 일도이동 449
중문환승정류장(중문우체국),126.4238,33.2518,32059,제주특별자치도 서귀포시 중문동 2774
동광환승정류장4(제주방면),126.34098999999999,33.31044,31962,제주특별자치도 서귀포시 안덕면 동광리 824-1
제주동초등학교,126.53221,33.51332,31570,제주특별자치도 제주시 건입동 1109-10
한림환승정류장(한림리),126.26336,33.41437,31510,제주특별자치도 제주시 한림읍 한림리 1360-2
동광양,126.53222,33.5022,31469,제주특별자치도 제주시 이도일동 1938
성산환승정류장(고성리한국물류),126.91378999999999,33.44744,31177,제주특별자치도 서귀포시 성산읍 고성리 1099-4
용담1동주민센터,126.51323000000001,33.50973,31089,제주특별자치도 제주시 용담일동 2583
제주국제공항,126.49455,33.5045,30984,제주특별자치도 제주시 용담이동 1972-2
연동대림1차아파트,126.48993,33.4807,29972,제주특별자치도 제주시 연동 1546
관덕정,126.52096,33.51293,29791,제주특별자치도 제주시 삼도이동 955-3
표선환승정류장(표선면사무소),126.83235,33.32658,29712,제주특별자치도 서귀포시 표선면 표선리 600-4
제주민속오일장,126.4767,33.493759999999995,29520,제주특별자치도 제주시 노형동 1142-3
용문사거리,126.51005,33.50881,29404,제주특별자치도 제주시 용담이동 641-29
노형우체국,126.47726000000002,33.48765,29325,제주특별자치도 제주시 노형동 1064-6
월랑마을남녕고등학교,126.48218999999999,33.4877,29283,제주특별자치도 제주시 노형동 1297-3
서귀북초등학교,126.55896000000001,33.26095,28906,제주특별자치도 서귀포시 서홍동 307-3
삼양초등학교,126.58611,33.52112,28614,제주특별자치도 제주시 삼양이동 2186-1
화북남문,126.56598000000001,33.51858,28237,제주특별자치도 제주시 화북일동 2034-7
제주민속오일장,126.47763,33.493520000000004,28224,제주특별자치도 제주시 노형동 1297-1
광양,126.52796000000001,33.502109999999995,27963,제주특별자치도 제주시 이도일동 1789-3
화북주공아파트,126.57471000000001,33.52121,27809,제주특별자치도 제주시 화북일동 1265-4
원노형,126.48076,33.48345,27442,제주특별자치도 제주시 노형동 948
문예회관,126.53691,33.50463,27257,제주특별자치도 제주시 일도이동 449
남서광마을,126.52376000000001,33.499790000000004,27025,제주특별자치도 제주시 삼도일동 585-35
하귀초등학교,126.40212,33.48017,26781,제주특별자치도 제주시 애월읍 하귀2리 1908-2
삼양2동,126.58236000000001,33.52128,26737,제주특별자치도 제주시 삼양이동 2186-1
서문시장,126.51845,33.512029999999996,26481,제주특별자치도 제주시 용담일동 124-6
광양,126.52806000000001,33.502320000000005,26052,제주특별자치도 제주시 이도일동 1938
성산일출봉입구,126.93377,33.46376,25612,제주특별자치도 서귀포시 성산읍 성산리 229-2
함덕환승정류장(함덕해수욕장),126.66877,33.54101,25287,제주특별자치도 제주시 조천읍 함덕리 1002-73
산천단한국폴리텍대학,126.55558,33.447990000000004,25120,제주특별자치도 제주시 아라일동 370-10
보성시장,126.52726000000001,33.50342,24983,제주특별자치도 제주시 이도일동 1938
삼성초등학교,126.52663999999999,33.5041,24832,제주특별자치도 제주시 이도일동 1938
세화환승정류장(세화리),126.8566,33.52325,24736,제주특별자치도 제주시 구좌읍 세화리 1465-6
중앙로(중앙성당),126.52447,33.512,24398,제주특별자치도 제주시 이도일동 1369-1
하모2리,126.25277,33.22146,24236,제주특별자치도 서귀포시 대정읍 하모리 921-19
남군농협,126.565,33.2482,24102,제주특별자치도 서귀포시 서귀동 404-14
외도부영1차아파트,126.43097,33.48635,23583,제주특별자치도 제주시 외도일동 646-1
제주대학교병원,126.54739,33.46909,23407,제주특별자치도 제주시 아라일동 1803-8
남국원(아라방면),126.54381000000001,33.47971,22925,제주특별자치도 제주시 아라이동 1582-2
신촌초등학교,126.61877,33.53275,22766,제주특별자치도 제주시 조천읍 신촌리 4005
정존마을,126.4733,33.481320000000004,22615,제주특별자치도 제주시 노형동 3815
정부제주지방합동청사,126.5266,33.4923,22596,제주특별자치도 제주시 도남동 91-2
중문초등학교,126.42981999999999,33.25147,22337,제주특별자치도 서귀포시 중문동 1905-2
연동주민센터,126.49636000000001,33.48815,21742,제주특별자치도 제주시 연동 302
제주여자상업고등학교,126.53696000000001,33.51383,21673,제주특별자치도 제주시 일도이동 981-43
은남동,126.49248,33.48588,21643,제주특별자치도 제주시 연동 283
정부제주지방합동청사,126.52738000000001,33.49205,21628,제주특별자치도 제주시 도남동 91-2
큰동네,126.59697,33.48923,21576,제주특별자치도 제주시 봉개동 1878-1
한라수목원,126.48491000000001,33.469840000000005,21522,제주특별자치도 제주시 노형동 103-4
봉개동,126.59275,33.49154,21452,제주특별자치도 제주시 봉개동 1812-9
중문동,126.4269,33.25155,21100,제주특별자치도 서귀포시 중문동 2774
서문시장,126.51767,33.511759999999995,20870,제주특별자치도 제주시 용담일동 2579-1
비석거리,126.57745,33.25578,20708,제주특별자치도 서귀포시 토평동 867-11
성산항,126.92993999999999,33.47043,20597,제주특별자치도 서귀포시 성산읍 성산리 347-5
용천마을,126.52135,33.49991,20486,제주특별자치도 제주시 삼도일동 585-35
도호동,126.49501000000001,33.48581,20388,제주특별자치도 제주시 연동 293
용담1동주민센터,126.51333000000001,33.50995,20166,제주특별자치도 제주시 용담일동 2579-1
롯데마트,126.4824,33.48215,20028,제주특별자치도 제주시 노형동 767
한라중학교/부영아파트,126.48383000000001,33.47887,19846,제주특별자치도 제주시 노형동 767
한국병원,126.51807,33.50005,19775,제주특별자치도 제주시 삼도일동 585-35
외도초등학교,126.43321,33.49342,19530,제주특별자치도 제주시 외도이동 251-1
삼무공원사거리,126.48853000000001,33.49001,19509,제주특별자치도 제주시 연동 260
제주동초등학교,126.5328,33.51328,19404,제주특별자치도 제주시 일도이동 1050-1
우령마을입구,126.43099,33.488459999999996,19395,제주특별자치도 제주시 외도일동 646-1
케이티앤지,126.48535,33.48207,19375,제주특별자치도 제주시 노형동 767
조천환승정류장(조천우체국),126.63877,33.5377,18713,제주특별자치도 제주시 조천읍 조천리 2360-1
서귀포여자고등학교,126.53168000000001,33.24438,18459,제주특별자치도 서귀포시 호근동 1561
문예회관,126.53703,33.504490000000004,18428,제주특별자치도 제주시 이도이동 326
청소년문화의집,126.56405,33.25088,18120,제주특별자치도 서귀포시 서귀동 279-14
부영아파트,126.48313,33.4769,17688,제주특별자치도 제주시 노형동 768
주공아파트5단지,126.56115,33.2646,17468,제주특별자치도 서귀포시 동홍동 1674
NHF삼화1단지,126.5821,33.51746,17407,제주특별자치도 제주시 삼양이동 2338
도련1동,126.59003,33.50906,17374,제주특별자치도 제주시 도련일동 1731-14
하귀우체국,126.4045,33.48122,17371,제주특별자치도 제주시 애월읍 하귀2리 3016
한담동,126.31278,33.46243,17258,제주특별자치도 제주시 애월읍 애월리 2154-2
노형우체국,126.47833,33.48709,17063,제주특별자치도 제주시 노형동 1297-5
산남새마을금고,126.57378,33.254909999999995,16942,제주특별자치도 서귀포시 동홍동 657-5
"제주국제공항(평화로, 800번)",126.49288,33.50659,16872,제주특별자치도 제주시 용담이동 2002
고성리제주은행,126.916,33.448679999999996,16848,제주특별자치도 서귀포시 성산읍 고성리 316-2
노형초등학교,126.47596000000001,33.48353,16644,제주특별자치도 제주시 노형동 3815
백록초등학교,126.47065,33.48458,16526,제주특별자치도 제주시 노형동 2511-2
제주한라대학교,126.47516,33.47808,16468,제주특별자치도 제주시 노형동 1518-1
제주관광대학(가상),126.43583000000001,33.4482,16244,제주특별자치도 제주시 애월읍 광령리 2619-3
홍랑로입구,126.52387,33.499970000000005,16218,제주특별자치도 제주시 삼도일동 585-35
제주관광대학,126.43653,33.447309999999995,15812,제주특별자치도 제주시 애월읍 광령리 4227
제주중학교/제주향교,126.5157,33.51078,15800,제주특별자치도 제주시 용담일동 288-1
함덕농협지소,126.66448999999999,33.542320000000004,15624,제주특별자치도 제주시 조천읍 함덕리 1252-47
삼무공원,126.4924,33.4898,15619,제주특별자치도 제주시 연동 281
대림2차아파트,126.48835,33.47885,15583,제주특별자치도 제주시 연동 1546
삼화지구,126.57886,33.51743,15575,제주특별자치도 제주시 삼양이동 2338
외도부영2차아파트,126.43098,33.48483,15501,제주특별자치도 제주시 외도일동 646-1
